,category_id,views,likes,dislikes,comment_count,category
1,23,0.0023897321327253497,0.02276415001744799,0.000867879264009592,13030,Comedy
2,23,0.007517138686936726,0.026013448579730012,0.002745028074968727,8181,Comedy
6,23,0.00703782088984353,0.033393262742154324,0.005064342861667346,26629,Comedy
16,23,0.0013138163262558843,0.007937187946831991,0.0003192849662025809,9619,Comedy
33,20,0.00217908236160137,0.015144036323171342,0.00028278056587990256,4303,Gaming
36,20,0.0004504558882539816,0.0005890812096632119,4.37024510905304e-05,534,Gaming
39,23,0.0012354724849115378,0.006138415024189381,0.00012185271657006712,2490,Comedy
48,23,0.008577081865981176,0.03893725260860372,0.0029866769221751892,12649,Comedy
51,23,0.00033244547179722407,0.0025569010231344855,0.00010385758965043695,417,Comedy
68,20,0.0006455782209491596,0.0011227634909305186,0.00013676296458918925,368,Gaming
71,23,0.004349550669450597,0.0047402600757023685,0.0006591357917418821,1221,Comedy
73,23,0.00013181363083672953,0.0003051394351838772,2.3136591753810212e-05,127,Comedy
80,23,0.000803865286327955,0.0078616601473469,0.0005372830751718149,5485,Comedy
87,20,0.004211768208368331,0.03174946431373821,0.0015702033603585863,46254,Gaming
89,23,0.0008909315343018299,0.002950928127995394,9.665953888258489e-05,2803,Comedy
100,23,0.0004549030672214538,0.0033365830475360213,0.0003074595970839668,2627,Comedy
115,23,4.72182995667098e-05,7.83779051260397e-06,1.748098043621216e-05,8,Comedy
124,23,0.0035446301203168017,0.01935132664401664,0.0008030968070989233,2913,Comedy
126,20,0.0006657247896508492,0.004103617728155855,0.0001737815113952856,1738,Gaming
147,23,0.0011354345131167577,0.013574162509817278,0.0002452478725903882,9580,Comedy
150,20,0.000884571691498771,0.004234366324434294,0.00010642832206752698,1777,Gaming
155,20,0.0005170033989473212,0.004317375651226873,9.614539239916688e-05,2941,Gaming
174,23,0.0022224329345448867,0.009406417404740118,0.002523430940615567,6065,Comedy
183,23,0.0006868159127836598,0.00046723919351273203,9.511709943233086e-05,347,Comedy
186,23,0.0036444066319074563,0.003190871396642611,0.0002832947123633206,1678,Comedy
