,category_id,views,likes,dislikes,comment_count,country,category
334994,24,0.005697161315964068,0.017311719794714017,0.003159944287087057,12703,US,Entertainment
334996,24,0.0008080557160859704,0.0018119546612319901,0.00034242155795639114,2146,US,Entertainment
334997,24,0.004936213191070088,0.023555232464413312,0.0010226373555184114,17518,US,Entertainment
334999,24,0.004954317543582796,0.0028488587197289836,0.0012570881519570216,1970,US,Entertainment
335001,1,0.0019455041794236966,0.0006311202678671786,6.118343152674256e-05,340,US,Film & Animation
335002,25,0.0006037351662997018,0.0022540772987838776,0.0007007816568987404,2368,US,News & Politics
335004,24,0.0002460576070556756,0.00028073540563326943,0.00015578638447565543,1279,US,Entertainment
335005,10,0.0016193219750388183,0.020340491433027772,0.0006853572623962003,8371,US,Music
335006,25,0.0012829286897090288,0.0013979768168844533,0.0006020655320824835,3981,US,News & Politics
335018,24,0.0005251816856925879,0.0015454697838034554,9.92302712996749e-05,1392,US,Entertainment
335021,25,6.554406882885697e-05,2.778852999923225e-05,1.850927340304817e-05,83,US,News & Politics
335022,1,0.00011954148972416054,0.0001273640958298145,0.00012236686305348512,246,US,Film & Animation
335024,24,6.0967337507989114e-05,2.119766070454255e-05,3.5476107355842326e-05,0,US,Entertainment
335025,10,0.040416598440667834,0.14026420835554781,0.022324240310009763,125882,US,Music
335026,24,0.00015909971195918622,0.0006735155892762638,4.3188304607112395e-05,626,US,Entertainment
335029,1,0.000680279407680516,0.001338658993232246,0.0004072040148670597,2111,US,Film & Animation
335030,10,3.25058632156338e-05,0.0002347774521730007,1.2339515602032113e-05,76,US,Music
335032,10,0.00013438583392596666,0.0012339176109274475,8.277758383029876e-05,565,US,Music
335033,10,0.00014224612853108043,0.000959951206191427,5.4499527242308495e-05,455,US,Music
335034,25,8.166038159127483e-05,5.486453358822778e-05,1.3367808568868121e-05,413,US,News & Politics
335036,10,0.0007731048466371607,0.0027051065164637243,0.007942534875841336,7484,US,Music
335039,24,0.00016424176264032595,0.0006086756859447218,1.6966833952794154e-05,160,US,Entertainment
335042,24,0.004817625677766386,0.008088243545802178,0.0014612043058739694,8309,US,Entertainment
335043,24,0.004339476207351085,0.01765034797117902,0.0006884421412967083,11800,US,Entertainment
335044,25,1.497154105786728e-05,3.6516978524632125e-05,3.0848789005080283e-06,15,US,News & Politics
335046,10,0.022491607627990746,0.033859789409256824,0.00771990944852134,11473,US,Music
335048,24,0.003524078406073584,0.002870768906843763,0.00012133857008664911,605,US,Entertainment
335050,25,2.1234808470212953e-05,3.7407636537428034e-06,4.113171867344037e-06,64,US,News & Politics
335052,24,0.0006865803630502132,0.0014622823254083178,0.00017686639029579362,1062,US,Entertainment
